CUST_ID,DEPOSIT,Age,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PROFIT,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS
C10131,935406,28,250.6,0,0.05833,0.5,0,0,7,3000,319.762903,173.632006
C10132,152391,25,4059.93,555.469352,0.05833,0.5,0.166667,7,14,7000,3685.61062,12854.9397
C10133,321551,23,218.1,0,0.05833,0.333333,0,0,10,1950,586.974046,1089.040271
C10134,207207,24,1611.7,2301.491267,0.05,0.5,0.166667,4,11,8000,1993.439277,2109.90649
C10135,53233,22,210.82,0,0.05,0.4,0,0,8,2250,889.017418,622.757696
C10136,193536,32,396,0,0.05,0.416667,0,0,12,1200,725.606194,140.809454
C10137,249487,61,160.99,0,0.05,0.25,0,0,8,2000,1020.783647,709.610053
C10138,90657,53,780,0,0.05,0.416667,0,0,9,1500,1955.198953,992.652486
C10139,398392,22,1453.32,0,0.05,0.5,0,0,18,16500,1382.269127,1755.253802
C10140,558885,51,0,0,0.05,0,0,0,15,4000,1110.870941,1431.201171
C10141,2453,25,92,1044.651618,0.05,0.416667,0.333333,6,12,2000,1249.835142,313.052687
C10142,245838,24,89.37,0,0.05,0.083333,0,0,9,7500,1034.932404,941.496383
C10143,242231,26,52.5,1738.33378,0.05,0.25,0.833333,16,10,2000,2795.059574,2661.324808
C10144,342157,20,300,2800.728343,0.05,0.416667,0.25,3,6,12000,1975.974183,1774.584333
C10145,187472,21,247.09,182.357669,0.05,0.416667,0.166667,3,7,5500,409.594792,69.921472
C10146,127293,55,739.57,0,0.05,0.333333,0,0,15,4000,3773.727455,169.879335
C10147,809733,26,334.13,0,0.05,0.5,0,0,10,9000,2161.153147,312.343947
C10148,198907,41,519,0,0.04167,0.333333,0,0,8,2500,254.590662,73.203221
C10149,1213622,26,100,0,0.04167,0.416667,0,0,5,6900,160.767773,159.684442
C10150,187911,45,229,970.591332,0.04167,0.333333,0.333333,4,6,6000,2110.557023,1895.02617
C10151,4246,20,104.85,0,0.04167,0.25,0,0,5,12000,210.053432,99.533735
C10152,90330,36,256.11,0,0.04167,0.416667,0,0,5,5300,831.375322,189.036967
C10153,96625,37,0,446.233197,0.04167,0,0.083333,1,6,2400,0,
C10154,18564,45,193.14,0,0.04167,0.416667,0,0,5,2000,220.46377,71.965063
C10155,391011,20,109.74,1013.659552,0.0375,0.25,0.125,1,3,1700,176.013005,147.199792
C10156,587,41,234.16,0,0.03636,0.272727,0,0,4,1500,479.910499,149.977816
C10157,15223,42,200,0,0.03333,0.25,0,0,5,7000,688.278568,311.963409
C10158,47445,35,340,184.648692,0.03333,0.333333,0.166667,2,5,2400,0,
C10159,548768,23,0,0,0.03333,0,0,0,4,1700,1623.816348,923.505868
C10160,76404,24,48.4,0,0.03333,0.166667,0,0,5,1000,492.200419,509.384182
C10161,583711,22,1859.34,0,0.03333,0.25,0,0,4,20000,3104.275623,288.903628
C10162,3862,44,0,955.959749,0.03333,0,0.083333,1,15,1500,277.522439,286.299328
C10163,455978,44,1146.48,893.757903,0.03333,0.166667,0.083333,2,8,14000,4720.900413,2557.044576
C10164,646789,54,125,5468.620604,0.03333,0.083333,0.25,16,9,10500,1941.541158,2391.987571
C10165,205344,51,77.18,0,0.03333,0.166667,0,0,7,11500,134.710832,75.515008
C10166,2846,30,0,0,0.03333,0,0,0,5,8500,11036.72668,1824.680131
C10167,4890,55,83.81,154.341344,0.03333,0.25,0.083333,1,5,10500,2515.435738,975.504012
C10168,586043,24,275.3,0,0.02727,0.181818,0,0,7,6000,1305.177304,175.510344
C10169,151693,64,0,0,0.025,0,0,0,6,2000,705.618627,155.549069
C10170,362522,26,0,0,0.025,0,0,0,6,6000,0,
C10171,238633,23,0,668.468743,0.025,0,0.416667,5,4,4000,0,
C10172,113978,26,0,0,0.025,0,0,0,3,2400,0,
C10173,0,20,79,0,0.025,0.166667,0,0,3,7000,217.820198,121.781205
C10174,40866,67,0,959.857263,0.025,0,0.333333,6,4,4000,532.741699,1026.976
C10175,211416,26,0,0,0.025,0,0,0,8,9000,0,
C10176,463785,21,0,273.558033,0.025,0,0.083333,1,8,5000,0,
C10177,11459,55,31.55,0,0.025,0.166667,0,0,5,4000,422.711848,616.005839
C10178,218773,24,300,0,0.025,0.166667,0,0,3,12500,291.948834,43.452683
C10179,547,24,117,17661.49486,0.025,0.166667,0.75,28,3,4500,17301.83238,931.618475
C10180,18969,44,0,0,0.025,0,0,0,3,6150,254.392984,55.79974
C10181,563586,24,327,0,0.025,0.166667,0,0,4,5000,1260.16384,59.04439
C10182,243,65,540,0,0.025,0.166667,0,0,3,4000,548.967281,48.659935
C10183,23724,22,0,7616.064965,0.025,0,0.25,4,4,7200,0,
C10184,43586,52,133,0,0.025,0.166667,0,0,3,3000,130.61272,41.436595
C10185,99648,67,0,4003.968939,0.025,0,0.333333,6,14,4000,3033.665478,716.70488
C10186,1873,56,0,181.139378,0.025,0,0.083333,1,4,2100,483.557464,524.426392
C10187,129312,37,0,0,0.01667,0,0,0,3,11000,1164.770591,100.302262
C10188,12569,21,0,244.840485,0.01667,0,0.25,5,2,1700,890.178845,971.183209
C10189,493133,61,0,695.097159,0.01667,0,0.083333,2,3,4000,587.866451,286.448719
C10190,155579,25,0,0,0.01667,0,0,0,2,6500,3509.686561,548.105836
C10191,232949,45,0,0,0.01667,0,0,0,2,2400,0,
C10192,266263,20,495,0,0.01667,0.166667,0,0,2,7000,1969.845566,147.049952
C10193,87458,42,147.78,1657.090283,0.01667,0.166667,0.25,4,2,6000,1186.062765,374.595505
C10194,569854,33,0,0,0.01667,0,0,0,5,8000,541.722532,762.682834
C10195,4310,25,47.55,2039.52804,0.01667,0.166667,0.75,14,2,6000,2976.579866,3463.174962
C10196,56655,28,0,0,0.01667,0,0,0,2,23000,1212.054219,68.725483
C10197,720174,53,0,1665.331678,0.01667,0,0.416667,9,2,1800,2591.391006,808.217224
C10198,112173,36,36,0,0.01667,0.083333,0,0,2,7500,0,
C10199,290378,45,0,0,0.01667,0,0,0,2,9000,3823.346244,629.080506
C10200,255453,54,0,0,0.01667,0,0,0,3,9500,634.000055,92.012927
C10201,15628,40,0,1659.19931,0.01667,0,0.416667,5,2,7500,990.524408,989.783286
C10202,543162,24,0,0,0.01429,0,0,0,1,2700,69.163384,99.401747
C10203,2339,60,0,0,0.01111,0,0,0,1,1500,26.487919,60.913577
C10204,281421,48,0,0,0.00909,0,0,0,1,5500,426.092563,213.369694
C10205,81771,24,0,205.788017,0.00833,0,0.083333,1,1,7500,0,
C10206,180983,27,0,0,0.00833,0,0,0,1,1200,678.334763,244.791237
C10207,12566,64,0,1189.533753,0.00833,0,0.166667,3,3,10500,1720.118876,2506.745366
C10208,141160,22,0,2925.699862,0.00833,0,0.333333,12,2,9000,1237.111661,2049.408839
C10209,66345,51,0,6173.682877,0.00833,0,0.333333,6,6,7500,20071.07544,719.948985
C10210,136074,23,0,0,0.00833,0,0,0,1,4500,868.275275,1801.264841
C10211,80958,23,0,0,0.00833,0,0,0,1,1600,338.083661,837.215674
C10212,192389,22,0,0,0.00833,0,0,0,1,1600,0,
C10213,611027,38,0,104.238064,0.00833,0,0.083333,1,1,4500,1073.844885,968.941265
C10214,130772,39,0,495.657934,0.00833,0,0.083333,1,1,1800,440.840439,312.560636
C10215,6941,21,0,8362.154254,0.00833,0,0.5,14,1,17000,2606.059389,2894.077159
C10216,23111,44,0,13748.47131,0.00833,0,0.666667,16,1,13000,10664.65866,2600.875721
C10217,1935,39,0,0,0.00833,0,0,0,2,7500,698.854095,819.682666
C10218,110822,26,0,384.26178,0.00833,0,0.083333,1,1,9000,1235.630069,194.324456
C10219,273737,23,0,93.579809,0.00833,0,0.083333,1,2,1200,439.407082,362.838185
C10220,288125,50,23,0,0.00833,0.083333,0,0,1,5000,0,
C10221,11744,20,23.81,0,0.00833,0.083333,0,0,3,12000,0,
C10222,4042,64,0,0,0.00833,0,0,0,2,6000,0,
C10223,546290,24,0,1631.576375,0.00833,0,0.083333,1,1,4000,1647.880773,24.815878
C10224,157068,26,43.39,0,0.00833,0.083333,0,0,1,4000,130.107234,29.700051
C10225,417863,25,0,0,0.00833,0,0,0,1,4000,125.769169,104.857518
C10226,236349,71,0,0,0.00833,0,0,0,1,2500,542.7463,628.211031
C10227,104950,44,0,0,0.00833,0,0,0,1,10000,76.943584,75.595199
C10228,187308,24,0,0,0.00833,0,0,0,1,1500,294.507498,86.245988
C10229,320247,25,95.4,0,0.00083,0.083333,0,0,2,1000,201.802084,139.509787
